Timestep,Confidence Bin,Lower Bound,Upper Bound,Number of Samples,safe_stop,beneficial_continuation,destructive_continuation,futile_continuation
6,"[0.95, 0.99)",0.95,0.99,1791,98.269122838974,0.11166945332661271,0.055834726663306355,1.5633724629878998
6,"[0.99, 1.00]",0.99,1.0,6222,99.9035656452179,0.0,0.0,0.09643201483413577
7,"[0.00, 0.50)",0.0,0.5,110,27.272728085517883,14.5454540848732,14.5454540848732,43.63636374473572
7,"[0.50, 0.60)",0.5,0.6,159,44.6540892124176,14.465409517288208,7.547169923782349,33.33333432674408
7,"[0.60, 0.70)",0.6,0.7,196,68.87755393981934,3.57142873108387,2.551020495593548,25.0
7,"[0.70, 0.80)",0.7,0.8,228,80.70175647735596,0.4385964944958687,1.7543859779834747,17.105263471603394
7,"[0.80, 0.90)",0.8,0.9,441,91.38321876525879,0.22675737272948027,0.0,8.390022814273834
7,"[0.90, 0.95)",0.9,0.95,608,96.21710777282715,0.0,0.0,3.7828948348760605
7,"[0.95, 0.99)",0.95,0.99,1802,99.22308325767517,0.0,0.0,0.7769145537167788
7,"[0.99, 1.00]",0.99,1.0,6456,99.93804097175598,0.0,0.0,0.06195786991156638
8,"[0.00, 0.50)",0.0,0.5,104,34.61538553237915,0.0,0.0,65.38461446762085
8,"[0.50, 0.60)",0.5,0.6,150,62.00000047683716,0.0,0.0,37.99999952316284
8,"[0.60, 0.70)",0.6,0.7,196,66.32652878761292,0.0,0.0,33.673468232154846
8,"[0.70, 0.80)",0.7,0.8,212,79.24528121948242,0.0,0.0,20.75471729040146
8,"[0.80, 0.90)",0.8,0.9,482,91.90871119499207,0.0,0.0,8.091286569833755
8,"[0.90, 0.95)",0.9,0.95,656,97.71341681480408,0.0,0.0,2.286585420370102
8,"[0.95, 0.99)",0.95,0.99,1892,99.36575293540955,0.0,0.0,0.6342494860291481
8,"[0.99, 1.00]",0.99,1.0,6308,99.95244145393372,0.0,0.0,0.047558656660839915
