individual_seed_values,mean,method,metric,sample_standard_deviation,valid_seed_count
"[57.59493637084961, 57.23270034790039, 61.046512603759766]",58.624716440836586,final_ce,ever_recovered_fraction,2.1051428039785294,3
"[97.0, 96.0, 113.0]",102.0,final_ce,wrong_to_correct_transition_count,9.539392014169456,3
"[5.248917579650879, 5.194805145263672, 6.114718914031982]",5.519480546315511,final_ce,beneficial_transition_fraction,0.5162010990787934,3
"[71.59090423583984, 71.59090423583984, 70.83332824707031]",71.33837890625,final_ce,stable_correct_fraction,0.4373867010476858,3
"[71.59090423583984, 71.96969604492188, 71.21212005615234]",71.59090677897136,selective_regression_thr0.6,final_accuracy,0.3787879943911685,3
"[64.63068389892578, 66.95075988769531, 64.96212005615234]",65.51452128092448,selective_regression_thr0.6,mean_prefix_accuracy,1.254810138333105,3
"[46.212120056152344, 50.75757598876953, 44.69696807861328]",47.22222137451172,selective_regression_thr0.6,minimum_prefix_accuracy,3.15404035566694,3
"[18.348623275756836, 15.765765190124512, 16.666667938232422]",16.927018801371258,selective_regression_thr0.6,ever_regressed_fraction,1.3109637300787238,3
"[2.2727272510528564, 2.2727272510528564, 2.2186148166656494]",2.2546897729237876,selective_regression_thr0.6,mean_population_regression,0.03124182855995994,3
"[3.5714287757873535, 3.43137264251709, 3.4628379344940186]",3.488546450932821,selective_regression_thr0.6,mean_conditional_regression,0.07348214735408583,3
"[42.0, 42.0, 41.0]",41.666666666666664,selective_regression_thr0.6,correct_to_wrong_transition_count,0.5773502691896258,3
"[2.2727272510528564, 2.2727272510528564, 2.2186148166656494]",2.2546897729237876,selective_regression_thr0.6,destructive_transition_fraction,0.03124182855995994,3
"[60.94674301147461, 57.861637115478516, 61.17647171020508]",59.99495061238607,selective_regression_thr0.6,ever_recovered_fraction,1.8510709537511103,3
"[109.0, 98.0, 111.0]",106.0,selective_regression_thr0.6,wrong_to_correct_transition_count,7.0,3
"[5.898268699645996, 5.303030490875244, 6.00649356842041]",5.735930919647217,selective_regression_thr0.6,beneficial_transition_fraction,0.37878785814559596,3
"[71.59090423583984, 71.96969604492188, 71.21212005615234]",71.59090677897136,selective_regression_thr0.6,stable_correct_fraction,0.3787879943911685,3
"[70.83332824707031, 70.83332824707031, 70.83332824707031]",70.83332824707031,selective_regression_thr0.8,final_accuracy,0.0,3
"[66.3352279663086, 66.42992401123047, 64.25189208984375]",65.67234802246094,selective_regression_thr0.8,mean_prefix_accuracy,1.231061788705784,3
"[49.621212005615234, 50.75757598876953, 44.318180084228516]",48.232322692871094,selective_regression_thr0.8,minimum_prefix_accuracy,3.4370357935503186,3
"[19.730941772460938, 19.55555534362793, 16.589862823486328]",18.62545331319173,selective_regression_thr0.8,ever_regressed_fraction,1.7650528550695055,3
"[2.651515245437622, 2.54328989982605, 2.1103897094726562]",2.435064951578776,selective_regression_thr0.8,mean_population_regression,0.28633667418912073,3
"[4.036243915557861, 3.8651318550109863, 3.3333334922790527]",3.744903087615967,selective_regression_thr0.8,mean_conditional_regression,0.36655420222730056,3
"[49.0, 47.0, 39.0]",45.0,selective_regression_thr0.8,correct_to_wrong_transition_count,5.291502622129181,3
"[2.651515245437622, 2.54328989982605, 2.1103897094726562]",2.435064951578776,selective_regression_thr0.8,destructive_transition_fraction,0.28633667418912073,3
"[61.11111068725586, 58.68263244628906, 60.344825744628906]",60.046189626057945,selective_regression_thr0.8,ever_recovered_fraction,1.241476657129986,3
"[105.0, 100.0, 109.0]",104.66666666666667,selective_regression_thr0.8,wrong_to_correct_transition_count,4.509249752822894,3
"[5.68181848526001, 5.411255359649658, 5.898268699645996]",5.663780848185222,selective_regression_thr0.8,beneficial_transition_fraction,0.24400720398592435,3
