model,fold,feature,train_mean,train_std
linear_gate,3,top1_margin_delta,0.015681244432926178,0.14713309705257416
linear_gate,3,js_divergence,0.01888512633740902,0.07866290211677551
linear_gate,3,normalized_timestep,0.625,0.25
linear_gate,4,previous_top1_confidence,0.9696332812309265,0.09138292819261551
linear_gate,4,previous_top1_margin,0.9439722895622253,0.16750352084636688
linear_gate,4,previous_normalized_entropy,0.03550935909152031,0.08824162930250168
linear_gate,4,new_top1_confidence,0.9783373475074768,0.07621419429779053
linear_gate,4,new_top1_margin,0.959936261177063,0.14031562209129333
linear_gate,4,new_normalized_entropy,0.026348162442445755,0.07462338358163834
linear_gate,4,same_top1_class,0.956845223903656,0.2032053917646408
linear_gate,4,new_probability_of_previous_class,0.9490947723388672,0.18458665907382965
linear_gate,4,previous_probability_of_new_class,0.9443308115005493,0.18170246481895447
linear_gate,4,top1_confidence_delta,0.008704099804162979,0.07956094294786453
linear_gate,4,top1_margin_delta,0.015963904559612274,0.1475771963596344
linear_gate,4,js_divergence,0.018718697130680084,0.07812807708978653
linear_gate,4,normalized_timestep,0.625,0.25
mlp16_gate,0,previous_top1_confidence,0.969138503074646,0.09239710122346878
mlp16_gate,0,previous_top1_margin,0.9432421922683716,0.16871747374534607
mlp16_gate,0,previous_normalized_entropy,0.036144305020570755,0.08954127132892609
mlp16_gate,0,new_top1_confidence,0.9778783321380615,0.07756981998682022
mlp16_gate,0,new_top1_margin,0.9592454433441162,0.14206549525260925
mlp16_gate,0,new_normalized_entropy,0.026857221499085426,0.07608531415462494
mlp16_gate,0,same_top1_class,0.9559107422828674,0.20529349148273468
mlp16_gate,0,new_probability_of_previous_class,0.948241651058197,0.18627026677131653
mlp16_gate,0,previous_probability_of_new_class,0.9434241056442261,0.18340259790420532
mlp16_gate,0,top1_confidence_delta,0.008739872835576534,0.07999246567487717
mlp16_gate,0,top1_margin_delta,0.016003265976905823,0.14802655577659607
mlp16_gate,0,js_divergence,0.01900777965784073,0.07873215526342392
