Policy,Threshold,Lambda,Accuracy,Average Timestep
Earliest Stable Correct Oracle,,,97.15999960899353,1.9903000593185425
Entropy,2.3025851249694824,,69.37000155448914,1.0
Entropy,2.181396484375,,69.38999891281128,1.0002000331878662
Entropy,2.0602078437805176,,69.40000057220459,1.0003000497817993
Entropy,1.9390190839767456,,69.44000124931335,1.0010000467300415
Entropy,1.8178303241729736,,69.55999732017517,1.0033999681472778
Entropy,1.6966416835784912,,69.96999979019165,1.0103000402450562
Entropy,1.5754529237747192,,70.8299994468689,1.0223000049591064
Entropy,1.4542642831802368,,71.72999978065491,1.0382000207901
Entropy,1.3330755233764648,,72.89999723434448,1.0606000423431396
Entropy,1.2118868827819824,,74.26999807357788,1.093999981880188
Entropy,1.0906982421875,,75.80000162124634,1.1412999629974365
Entropy,0.9695095419883728,,77.63000130653381,1.207900047302246
Entropy,0.8483208417892456,,79.36999797821045,1.2976000308990479
Entropy,0.7271321415901184,,81.80999755859375,1.438099980354309
Entropy,0.6059434413909912,,85.29000282287598,1.6577999591827393
Entropy,0.4847547709941864,,88.01000118255615,1.8863999843597412
Entropy,0.3635660707950592,,90.25999903678894,2.1933000087738037
Entropy,0.2423773854970932,,92.61999726295471,2.61899995803833
Entropy,0.1211886927485466,,94.69000101089478,3.2562999725341797
Entropy,0.0,,97.15999960899353,8.0
Fixed T,1.0,,69.37000155448914,1.0
Fixed T,2.0,,83.73000025749207,2.0
Fixed T,3.0,,84.16000008583069,3.0
Fixed T,4.0,,90.99000096321106,4.0
Fixed T,5.0,,95.13000249862671,5.0
Fixed T,6.0,,95.67000269889832,6.0
Fixed T,7.0,,96.92999720573425,7.0
Fixed T,8.0,,97.15999960899353,8.0
Margin,0.0,,69.37000155448914,1.0
Margin,0.04999999701976776,,70.60999870300293,1.0318000316619873
Margin,0.09999999403953552,,71.99000120162964,1.0666999816894531
Margin,0.14999999105930328,,73.21000099182129,1.0968999862670898
Margin,0.19999998807907104,,74.30999875068665,1.1287000179290771
Margin,0.2499999850988388,,75.5299985408783,1.1650999784469604
Margin,0.29999998211860657,,76.7799973487854,1.2051000595092773
Margin,0.34999996423721313,,77.85999774932861,1.2496999502182007
Margin,0.3999999761581421,,79.01999950408936,1.301900029182434
Margin,0.44999998807907104,,80.07000088691711,1.3497999906539917
Margin,0.5,,81.16999864578247,1.4063999652862549
Margin,0.550000011920929,,82.34000205993652,1.473099946975708
Margin,0.6000000238418579,,83.3400011062622,1.5454000234603882
Margin,0.6499999761581421,,84.7599983215332,1.6375999450683594
Margin,0.699999988079071,,86.03000044822693,1.7438000440597534
Margin,0.75,,87.40000128746033,1.8676999807357788
Margin,0.7999999523162842,,88.83000016212463,2.0246999263763428
Margin,0.8499999642372131,,90.59000015258789,2.2469000816345215
Margin,0.8999999761581421,,92.33999848365784,2.557800054550171
