comparator_large_drop_fraction_0.05,comparator_large_drop_fraction_0.10,comparator_mean_delta_p_y,comparator_mean_drop_magnitude,comparator_median_delta_p_y,comparator_probability_drop_fraction,comparison,from_t,mean_drop_magnitude_difference,probability_drop_fraction_difference,seed,selective_large_drop_fraction_0.05,selective_large_drop_fraction_0.10,selective_mean_delta_p_y,selective_mean_drop_magnitude,selective_median_delta_p_y,selective_probability_drop_fraction,subset,support_count,to_t
0.004622165113687515,0.0016123830573633313,-8.880568930180743e-05,0.0009258146747015417,-2.1457672119140625e-06,0.70267653465271,symmetric_kl,4,-0.00027369463350623846,-0.36880573630332947,3,0.0033322584349662066,0.0015048908535391092,0.01568763516843319,0.0006521200411953032,7.152557373046875e-07,0.3338707983493805,common_correct,9303,5
0.004247903358191252,0.001415967708453536,-0.00022389883815776557,0.000811112520750612,-2.1457672119140625e-06,0.7039538025856018,symmetric_kl,4,-0.00023024081019684672,-0.3668445646762848,3,0.0029408561531454325,0.0010892059653997421,0.011612294241786003,0.0005808717105537653,5.960464477539062e-07,0.337109237909317,eligible_common_correct,9181,5
0.006595218554139137,0.0031945588998496532,-0.0006725284038111567,0.0013892939314246178,-7.271766662597656e-06,0.7834913730621338,symmetric_kl,5,3.9885169826447964e-05,-0.26339656114578247,3,0.007110469974577427,0.003709810320287943,0.004303286783397198,0.0014291791012510657,-1.1920928955078125e-07,0.5200948119163513,common_correct,9704,6
0.0051845707930624485,0.0025922853965312243,-0.0006358771934174001,0.001240421086549759,-7.152557373046875e-06,0.7845292687416077,symmetric_kl,5,7.006863597780466e-05,-0.262131929397583,3,0.00642886757850647,0.0031107424292713404,0.0033904241863638163,0.0013104897225275636,-1.1920928955078125e-07,0.5223973393440247,eligible_common_correct,9644,6
0.00643776822835207,0.0022481095511466265,-0.0005090181948617101,0.0013081106590107083,-7.867813110351562e-06,0.7486204504966736,symmetric_kl,6,-0.00032059510704129934,-0.2620069086551666,3,0.004291845485568047,0.0022481095511466265,0.003891407046467066,0.000987515551969409,0.0,0.48661354184150696,common_correct,9786,7
0.005749486852437258,0.0017453798791393638,-0.0005505987210199237,0.0011957950191572309,-7.987022399902344e-06,0.7505133748054504,symmetric_kl,6,-0.00034327321918681264,-0.262423038482666,3,0.003593429224565625,0.0015400410629808903,0.003334878943860531,0.0008525217999704182,0.0,0.4880903363227844,eligible_common_correct,9740,7
0.007222787477076054,0.0030518819112330675,-0.0005025635473430157,0.001462746993638575,-2.384185791015625e-06,0.652187168598175,symmetric_kl,7,-0.0002528297482058406,-0.06917595863342285,3,0.006307222880423069,0.002746693789958954,0.0010677246609702706,0.0012099172454327345,-5.960464477539062e-07,0.5830112099647522,common_correct,9830,8
0.006329759955406189,0.0026544155552983284,-0.0006223475211299956,0.0013525354443117976,-2.384185791015625e-06,0.6532924771308899,symmetric_kl,7,-0.00018167030066251755,-0.06921899318695068,3,0.0059213885106146336,0.0026544155552983284,0.0006799332913942635,0.00117086514364928,-5.960464477539062e-07,0.5840734839439392,eligible_common_correct,9795,8
0.009569377638399601,0.00527965696528554,-0.0006549342651851475,0.002522957045584917,-1.1920928955078125e-07,0.5058571100234985,symmetric_kl,1,-0.000348793575540185,-0.33294834196567535,4,0.007919485680758953,0.00511466758325696,0.03711705282330513,0.002174163470044732,3.075599670410156e-05,0.17290876805782318,common_correct,6061,2
0.009028960950672626,0.0051107327453792095,-0.0011255397694185376,0.0025085187517106533,-1.1920928955078125e-07,0.5052810907363892,symmetric_kl,1,-0.00044431397691369057,-0.3284497410058975,4,0.007666098885238171,0.0047700172290205956,0.025491701439023018,0.0020642047747969627,2.1219253540039062e-05,0.17683134973049164,eligible_common_correct,5870,2
0.008879439905285835,0.0051275636069476604,-0.000840936612803489,0.001905019860714674,-1.430511474609375e-06,0.6783391833305359,symmetric_kl,2,-0.00035867292899638414,-0.3689344823360443,4,0.007878939621150494,0.004127063322812319,0.026435641571879387,0.0015463469317182899,4.76837158203125e-06,0.3094047009944916,common_correct,7996,3
0.00784162525087595,0.0046278443187475204,-0.0008869585581123829,0.0017767425160855055,-1.3113021850585938e-06,0.6759223341941833,symmetric_kl,2,-0.0003846327308565378,-0.3604576289653778,4,0.0066846637055277824,0.0034708832390606403,0.01831878162920475,0.0013921097852289677,2.9802322387695312e-06,0.31546470522880554,eligible_common_correct,7779,3
0.006307727191597223,0.0030412254855036736,-0.00021831804770044982,0.001327682170085609,-1.7881393432617188e-06,0.6650146245956421,symmetric_kl,3,-0.0006755440263077617,-0.42453253269195557,4,0.0031538635957986116,0.0015769317978993058,0.024773962795734406,0.0006521381437778473,1.800060272216797e-05,0.24048209190368652,common_correct,8878,4
0.0059728920459747314,0.0027567194774746895,-0.00037260903627611697,0.0012440443970263004,-1.6689300537109375e-06,0.6656329035758972,symmetric_kl,3,-0.0006117869634181261,-0.4209740459918976,4,0.0028715827502310276,0.0014932230114936829,0.01793072186410427,0.0006322574336081743,1.430511474609375e-05,0.24465885758399963,eligible_common_correct,8706,4
0.005989911500364542,0.0024169818498194218,2.0076924556633458e-05,0.0013046909589320421,-3.337860107421875e-06,0.692412793636322,symmetric_kl,4,-0.000708423089236021,-0.32870954275131226,4,0.0025220680981874466,0.0015762925613671541,0.013972660526633263,0.0005962678696960211,2.2649765014648438e-06,0.36370325088500977,common_correct,9516,5
0.005324813537299633,0.0023429179564118385,-0.00034016481367871165,0.0012394384248182178,-3.4570693969726562e-06,0.6965920925140381,symmetric_kl,4,-0.0007479845662601292,-0.32917994260787964,4,0.0019169328734278679,0.0010649627074599266,0.010248009115457535,0.0004914538585580885,1.7881393432617188e-06,0.36741214990615845,eligible_common_correct,9390,5
0.007474147714674473,0.0030715675093233585,-0.0006232811720110476,0.0015725302509963512,-1.4185905456542969e-05,0.7976861000061035,symmetric_kl,5,-0.0001050813589245081,-0.2495136857032776,4,0.0073717618361115456,0.0037882665637880564,0.0030295904725790024,0.0014674488920718431,-3.5762786865234375e-07,0.5481724143028259,common_correct,9767,6
0.006494845263659954,0.002577319508418441,-0.0007643777062185109,0.0014572913059964776,-1.4185905456542969e-05,0.8003093004226685,symmetric_kl,5,-0.0002034975914284587,-0.25072169303894043,4,0.005979381501674652,0.0030927835032343864,0.0023162257857620716,0.001253793714568019,-3.5762786865234375e-07,0.549587607383728,eligible_common_correct,9700,6
0.008050545118749142,0.003872414119541645,-0.0005566636100411415,0.0016704457812011242,-1.0728836059570312e-05,0.7332110404968262,symmetric_kl,6,-0.0002878877567127347,-0.2454906702041626,4,0.006623866502195597,0.0031590748112648726,0.002197647001594305,0.0013825580244883895,0.0,0.4877203702926636,common_correct,9813,7
0.006455579306930304,0.0029716158751398325,-0.0005452571786008775,0.0014505276922136545,-1.0728836059570312e-05,0.7342965602874756,symmetric_kl,6,-0.0002451948821544647,-0.2461317777633667,4,0.005738292820751667,0.002459268318489194,0.0018623010255396366,0.0012053328100591898,0.0,0.4881647825241089,eligible_common_correct,9759,7
0.006807559635490179,0.0020321072079241276,-0.000218783417949453,0.0013845578068867326,-5.364418029785156e-06,0.6499695181846619,symmetric_kl,7,0.0003135983133688569,-0.10810810327529907,4,0.009246088564395905,0.004369030706584454,-8.320235792780295e-05,0.0016981561202555895,-3.5762786865234375e-07,0.5418614149093628,common_correct,9842,8
0.0056162565015256405,0.001429592608474195,-0.00028568311245180666,0.0012418500846251845,-5.364418029785156e-06,0.6512815356254578,symmetric_kl,7,0.00024451606441289186,-0.1090574860572815,4,0.007760645356029272,0.003471867647022009,-0.0002047903835773468,0.0014863661490380764,-3.5762786865234375e-07,0.5422240495681763,eligible_common_correct,9793,8
0.004926108289510012,0.0026389865670353174,0.0005111604696139693,0.0012065722839906812,0.0,0.4005981683731079,symmetric_kl,1,0.0009911319939419627,-0.215165376663208,5,0.008796622045338154,0.006333568133413792,0.03682399541139603,0.002197704277932644,1.5020370483398438e-05,0.1854327917098999,common_correct,5684,2
0.004181058146059513,0.0019996364135295153,0.0003960336616728455,0.001018993672914803,0.0,0.3975640833377838,symmetric_kl,1,0.000983145204372704,-0.20759862661361694,5,0.007998545654118061,0.005635338835418224,0.024637864902615547,0.002002138877287507,9.179115295410156e-06,0.18996545672416687,eligible_common_correct,5501,2
0.004967520013451576,0.0030569355003535748,-0.00045691951527260244,0.001077285734936595,-1.1920928955078125e-06,0.7090816497802734,symmetric_kl,2,0.0008476552320644259,-0.36899757385253906,5,0.009043433703482151,0.006368615664541721,0.027836300432682037,0.001924940967001021,4.649162292480469e-06,0.3400840759277344,common_correct,7851,3
0.004699125420302153,0.0027411566115915775,-0.0005060737021267414,0.001008667517453432,-1.0728836059570312e-06,0.7076099514961243,symmetric_kl,2,0.000819097738713026,-0.3603968024253845,5,0.00861506350338459,0.006004438269883394,0.019522344693541527,0.0018277652561664581,2.384185791015625e-06,0.34721314907073975,eligible_common_correct,7661,3
