bin,comparator_regression_count,comparator_regression_rate,comparison,from_t,interpretable,paired_difference,seed,selective_regression_count,selective_regression_rate,support_count,to_t
"[0.9,1.000001)",,0.0,symmetric_kl,2,True,0.0,3,,0.0,6796,3
eligible>=0.6,2,0.02399232245681382,symmetric_kl,3,True,-0.01199616122840691,3,1,0.01199616122840691,8336,4
"[0.0,0.4)",,nan,symmetric_kl,3,False,nan,3,,nan,0,4
"[0.4,0.6)",,nan,symmetric_kl,3,False,nan,3,,nan,3,4
"[0.6,0.8)",,nan,symmetric_kl,3,False,nan,3,,nan,3,4
"[0.8,0.9)",,nan,symmetric_kl,3,False,nan,3,,nan,2,4
"[0.9,1.000001)",,0.0,symmetric_kl,3,True,0.0,3,,0.0,7677,4
eligible>=0.6,0,0.0,symmetric_kl,4,True,0.0,3,0,0.0,9181,5
"[0.0,0.4)",,nan,symmetric_kl,4,False,nan,3,,nan,0,5
"[0.4,0.6)",,nan,symmetric_kl,4,False,nan,3,,nan,1,5
"[0.6,0.8)",,nan,symmetric_kl,4,False,nan,3,,nan,6,5
"[0.8,0.9)",,nan,symmetric_kl,4,False,nan,3,,nan,10,5
"[0.9,1.000001)",,0.0,symmetric_kl,4,True,0.0,3,,0.0,8624,5
eligible>=0.6,4,0.0414765657403567,symmetric_kl,5,True,0.0,3,4,0.0414765657403567,9644,6
"[0.0,0.4)",,nan,symmetric_kl,5,False,nan,3,,nan,0,6
"[0.4,0.6)",,nan,symmetric_kl,5,False,nan,3,,nan,3,6
"[0.6,0.8)",,nan,symmetric_kl,5,False,nan,3,,nan,11,6
"[0.8,0.9)",,nan,symmetric_kl,5,False,nan,3,,nan,8,6
"[0.9,1.000001)",,0.0,symmetric_kl,5,True,0.0,3,,0.0,9288,6
eligible>=0.6,1,0.01026694045174538,symmetric_kl,6,True,0.030800821355236138,3,4,0.04106776180698152,9740,7
"[0.0,0.4)",,nan,symmetric_kl,6,False,nan,3,,nan,0,7
"[0.4,0.6)",,nan,symmetric_kl,6,False,nan,3,,nan,0,7
"[0.6,0.8)",,nan,symmetric_kl,6,False,nan,3,,nan,18,7
"[0.8,0.9)",,nan,symmetric_kl,6,False,nan,3,,nan,17,7
"[0.9,1.000001)",,0.0,symmetric_kl,6,True,0.0,3,,0.0,9424,7
eligible>=0.6,2,0.02041858090862685,symmetric_kl,7,True,0.0,3,2,0.02041858090862685,9795,8
"[0.0,0.4)",,nan,symmetric_kl,7,False,nan,3,,nan,0,8
"[0.4,0.6)",,nan,symmetric_kl,7,False,nan,3,,nan,0,8
"[0.6,0.8)",,nan,symmetric_kl,7,False,nan,3,,nan,18,8
"[0.8,0.9)",,nan,symmetric_kl,7,False,nan,3,,nan,18,8
"[0.9,1.000001)",,0.0,symmetric_kl,7,True,0.0,3,,0.0,9535,8
eligible>=0.6,9,0.15332197614991483,symmetric_kl,1,True,0.0170357751277683,4,10,0.17035775127768313,5870,2
"[0.0,0.4)",,nan,symmetric_kl,1,False,nan,4,,nan,0,2
"[0.4,0.6)",,nan,symmetric_kl,1,False,nan,4,,nan,0,2
"[0.6,0.8)",,nan,symmetric_kl,1,False,nan,4,,nan,1,2
"[0.8,0.9)",,nan,symmetric_kl,1,False,nan,4,,nan,4,2
"[0.9,1.000001)",,0.05772561092938234,symmetric_kl,1,True,-0.019241870309794115,4,,0.03848374061958822,5197,2
eligible>=0.6,9,0.11569610489780177,symmetric_kl,2,True,-0.02571024553284483,4,7,0.08998585936495694,7779,3
