Timestep,Confidence Bin,Lower Bound,Upper Bound,Number of Samples,safe_stop,beneficial_continuation,destructive_continuation,futile_continuation
3,"[0.70, 0.80)",0.7,0.8,29,65.51724076271057,3.448275849223137,3.448275849223137,27.586206793785095
3,"[0.80, 0.90)",0.8,0.9,45,55.55555820465088,4.444444552063942,0.0,40.00000059604645
3,"[0.90, 0.95)",0.9,0.95,32,78.125,0.0,0.0,21.875
3,"[0.95, 0.99)",0.95,0.99,43,88.37209343910217,0.0,0.0,11.627907305955887
3,"[0.99, 1.00]",0.99,1.0,9,77.77777910232544,0.0,0.0,22.22222238779068
4,"[0.00, 0.50)",0.0,0.5,27,14.814814925193787,18.518517911434174,14.814814925193787,51.851850748062134
4,"[0.50, 0.60)",0.5,0.6,35,17.142857611179352,20.000000298023224,17.142857611179352,45.71428596973419
4,"[0.60, 0.70)",0.6,0.7,34,41.17647111415863,11.764705926179886,5.882352963089943,41.17647111415863
4,"[0.70, 0.80)",0.7,0.8,30,53.33333611488342,0.0,3.333333507180214,43.33333373069763
4,"[0.80, 0.90)",0.8,0.9,40,75.0,0.0,0.0,25.0
4,"[0.90, 0.95)",0.9,0.95,36,72.22222089767456,0.0,0.0,27.77777910232544
4,"[0.95, 0.99)",0.95,0.99,51,88.23529481887817,0.0,0.0,11.764705926179886
4,"[0.99, 1.00]",0.99,1.0,11,72.72727489471436,0.0,0.0,27.272728085517883
5,"[0.00, 0.50)",0.0,0.5,30,16.66666716337204,13.333334028720856,10.000000149011612,60.00000238418579
5,"[0.50, 0.60)",0.5,0.6,33,24.242424964904785,15.15151560306549,15.15151560306549,45.45454680919647
5,"[0.60, 0.70)",0.6,0.7,29,51.724135875701904,0.0,3.448275849223137,44.82758641242981
5,"[0.70, 0.80)",0.7,0.8,35,57.14285969734192,0.0,0.0,42.85714328289032
5,"[0.80, 0.90)",0.8,0.9,38,60.52631735801697,0.0,0.0,39.47368562221527
5,"[0.90, 0.95)",0.9,0.95,36,86.11111044883728,0.0,0.0,13.88888955116272
5,"[0.95, 0.99)",0.95,0.99,52,82.69230723381042,0.0,0.0,17.307692766189575
5,"[0.99, 1.00]",0.99,1.0,11,81.81818127632141,0.0,0.0,18.18181872367859
6,"[0.00, 0.50)",0.0,0.5,33,24.242424964904785,6.060606241226196,9.090909361839294,60.60606241226196
6,"[0.50, 0.60)",0.5,0.6,29,34.48275923728943,6.896551698446274,10.34482792019844,48.27586114406586
6,"[0.60, 0.70)",0.6,0.7,26,34.61538553237915,0.0,0.0,65.38461446762085
6,"[0.70, 0.80)",0.7,0.8,32,59.375,0.0,0.0,40.625
6,"[0.80, 0.90)",0.8,0.9,45,66.66666865348816,0.0,0.0,33.33333432674408
6,"[0.90, 0.95)",0.9,0.95,32,75.0,0.0,0.0,25.0
6,"[0.95, 0.99)",0.95,0.99,54,85.18518805503845,0.0,0.0,14.814814925193787
6,"[0.99, 1.00]",0.99,1.0,13,92.30769276618958,0.0,0.0,7.6923079788684845
7,"[0.00, 0.50)",0.0,0.5,29,24.13793057203293,6.896551698446274,3.448275849223137,65.51724076271057
7,"[0.50, 0.60)",0.5,0.6,31,38.70967626571655,3.2258063554763794,6.451612710952759,51.61290168762207
7,"[0.60, 0.70)",0.6,0.7,28,42.85714328289032,0.0,0.0,57.14285969734192
7,"[0.70, 0.80)",0.7,0.8,32,53.125,0.0,0.0,46.875
7,"[0.80, 0.90)",0.8,0.9,46,69.5652186870575,0.0,0.0,30.434781312942505
7,"[0.90, 0.95)",0.9,0.95,33,72.72727489471436,0.0,0.0,27.272728085517883
7,"[0.95, 0.99)",0.95,0.99,48,85.41666865348816,0.0,0.0,14.58333283662796
7,"[0.99, 1.00]",0.99,1.0,17,94.11764740943909,0.0,0.0,5.882352963089943
8,"[0.00, 0.50)",0.0,0.5,31,32.258063554763794,0.0,0.0,67.7419364452362
8,"[0.50, 0.60)",0.5,0.6,31,32.258063554763794,0.0,0.0,67.7419364452362
8,"[0.60, 0.70)",0.6,0.7,24,54.16666865348816,0.0,0.0,45.83333432674408
8,"[0.70, 0.80)",0.7,0.8,34,47.05882370471954,0.0,0.0,52.941179275512695
8,"[0.80, 0.90)",0.8,0.9,48,68.75,0.0,0.0,31.25
8,"[0.90, 0.95)",0.9,0.95,25,72.00000286102295,0.0,0.0,28.00000011920929
